Song,Actual,TF-IDF,TF-IDF Error,Custom,Custom Err, ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
15 Minutes,1999,1998,1,1997,2, ,0,0,0,0,0,0,0,0,7.758475847,0,0,0,0,0,5.815125062,0,35.38038402,45.20937254,70.73188606,28.69813646,50.35840523,40.92667684,17.86585225,26.71938113,4.618086411,9.896722587,0,0,0,0,0,0,0,0,0,0
19 Somethin',2003,2000,3,2010,7, ,17.71360671,0,0,0,0,0,0,0,7.470936133,6.9117473,0,7.470936133,0,7.470936133,11.68045468,5.427079339,12.01301204,36.74392099,41.22525229,48.99855396,69.71811501,58.67930115,24.086073,31.02707883,12.6855841,16.94398025,15.4117335,0,22.47848439,7.758475847,8.856803357,16.6152792,0,8.856803357,0,0
19 You + Me,2014,1998,16,2000,14, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718346474,10.8550535,43.82998465,62.6940301,40.94404752,47.00206963,23.68045059,12.4764096,14.00571487,6.061729595,0,5.173462509,0,0,0,0,0,0,0,0,0
2 Become 1,1997,1997,0,1980,17, ,0,0,0,0,0,0,0,0,0,4.754437768,0,0,0,12.67127213,6.956819223,5.17346858,24.40329061,45.7982245,44.66604242,31.16870682,14.15203287,10.2414847,10.18978233,0,0,0,0,0,0,0,0,0,0,0,0,0
2 On,2014,2000,14,2000,14, ,0,0,0,0,0,0,0,0,0,0,0,0,6.025865974,0,0,3.822530266,29.95257831,25.28659631,57.22667424,64.81769792,73.98754529,39.35231063,28.84026666,46.26205601,37.94685776,43.2636723,0,11.25555071,5.682019594,0,0,7.065755682,0,7.065755682,7.24793492,0
2 Reasons,2012,1998,14,2000,12, ,0,0,0,0,0,0,0,0,0,0,0,0,0,7.470936133,3.303134661,19.16285022,23.99383966,32.37207451,117.5202114,84.45654012,89.79823162,54.08292703,44.509841,18.06412721,49.35803403,44.81057654,0,4.391780051,10.23407255,0,20.47101831,0,0,0,0,0
2 Step,2007,1998,9,2014,7, ,0,0,0,0,0,0,0,0,0,7.470936133,7.470936133,0,0,0,4.511000381,8.163798576,6.773538408,30.97264031,56.66136558,38.57782859,41.21941284,44.8532733,19.31431216,18.06358544,24.57957046,11.27274135,35.00918333,0,18.25124568,0,0,0,0,0,8.856803357,0
2012 (It Ain't The End),2010,1998,12,1988,22, ,0,0,0,0,0,0,0,0,15.23026534,0,0,0,0,6.778358185,5.939566265,15.78806289,15.68329368,52.02960559,83.74561974,80.54250894,53.33592679,29.25043531,19.41034678,17.29529337,8.97244893,7.70294267,0,4.391780051,13.38827109,7.470936133,0,0,0,0,0,0
21 Guns,2009,1998,11,1980,29, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.96475463,21.07605917,60.44416516,68.06223102,41.19151914,29.48782297,8.651391861,7.046720557,6.660717407,7.758475847,0,8.163798576,0,6.778358185,0,0,0,0,0,0,0
21 Questions,2003,1998,5,1996,7, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6529907,15.37502195,31.65523829,43.65652805,109.4343462,85.34041563,76.61176968,79.35757343,25.51107548,46.50872445,14.94069464,12.0410682,0,0,0,7.758475847,0,0,0,0,0,0
24/7,1999,2004,5,1980,19, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.713838797,0,0,0,0,0,0,0,0,0,0,0
32 Flavors,1998,1998,0,2002,4, ,0,0,0,7.470936133,0,0,0,0,0,0,0,6.660717407,4.590197542,5.14891151,4.60404279,11.26776634,6.995274723,41.84100839,68.65738901,54.22943043,34.0693413,14.19320377,18.73541741,5.493487066,0,6.293561456,7.758475847,6.555499129,7.24793492,0,0,0,0,0,0,0
3am,2009,1998,11,2004,5, ,0,0,0,0,0,0,7.758475847,0,7.470936133,0,15.92255904,11.38317668,29.94970502,27.74710262,3.343535293,56.29257158,83.02843661,86.98407624,184.1520675,98.43802897,105.3666884,81.90459075,34.62377849,14.11389559,82.2811253,28.16858656,10.32764801,29.47955906,0,25.87740529,8.856803357,8.163798576,14.71887105,0,0,0
4 Ever,2003,1998,5,1995,8, ,0,0,0,0,0,0,0,0,0,0,0,0,0,6.373461987,12.52449062,35.69289654,28.88401556,62.88582058,87.51998503,51.7336027,43.80372023,35.1495736,6.442896476,15.98006074,4.992273295,0,5.528436532,0,8.856803357,0,6.0863485,0,0,0,0,0
4 Minutes,2008,1998,10,1980,28, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93706119,9.878483005,41.91143724,63.82295949,43.63373963,22.77762396,15.5949161,11.41159731,18.72240928,6.9117473,0,0,0,0,0,0,0,0,0,0,0
4 Seasons Of Loneliness,1997,1998,1,1989,8, ,0,0,0,0,0,0,0,0,0,8.856803357,7.065755682,0,5.101566627,17.23355523,0,36.52627168,51.47861532,64.14897396,88.99629743,48.44216329,20.90244946,18.38925776,17.40901585,13.18885968,12.59348325,0,0,0,6.778358185,0,0,0,0,0,0,0
456,1999,1998,1,2004,5, ,0,0,0,0,0,0,0,7.24793492,0,0,0,0,0,4.932072972,26.37221095,39.2200745,38.67631454,42.16117406,121.3948191,108.8161071,87.61368671,91.15943069,53.52981428,50.94456339,41.03165551,24.36678886,10.32764801,4.189795024,10.1713908,0,0,0,0,0,0,0
5 Miles To Empty,1997,1997,0,1980,17, ,0,0,0,0,0,0,0,0,0,0,6.0863485,0,0,15.31764037,14.88537545,7.051227624,22.81517513,54.26060569,52.5723102,25.92984565,26.60623982,9.438787086,3.151019705,0,6.555499129,0,0,0,0,0,0,0,0,0,0,0
5 O'Clock,2011,1998,13,2011,0, ,0,0,0,0,0,0,0,8.163798576,0,7.758475847,0,0,0,0,0,14.07509174,24.60589041,58.24297131,91.01760981,73.43471209,52.14586524,64.46028738,29.96062744,32.31420464,9.008287918,13.40555106,5.173462509,16.6152792,3.79792881,8.856803357,0,23.39321056,0,0,0,0
5-1-5-0,2012,1999,13,1992,20, ,0,0,0,0,0,0,0,0,0,0,0,0,8.163798576,0,0,5.996656909,7.77668502,15.82635721,41.9938825,46.00364246,21.43589311,23.61709671,6.591922418,0,5.850407879,5.124955551,6.555499129,0,0,0,0,0,0,0,0,0
50 Ways To Say Goodbye,2012,1998,14,2004,8, ,0,8.856803357,0,0,0,0,0,0,0,0,8.163798576,0,0,5.124955551,5.278256373,8.128423642,18.84227163,31.84719571,80.69575857,47.97498355,60.49467318,12.54872248,23.06467118,6.9117473,15.17468494,24.25279548,0,0,0,0,0,0,0,0,0,0
6 Foot 7 Foot,2011,1998,13,2012,1, ,0,0,0,0,0,0,0,0,0,6.373461987,15.07554588,15.76855066,6.293561456,0,4.536694098,18.40305236,71.69497407,122.8581563,176.1665537,137.2884683,162.2844609,104.7791433,78.23851851,107.8365389,48.62784102,43.38663536,35.06732536,0,19.90447735,25.82754437,5.528436532,15.92255904,14.18966455,0,0,0
6 Underground,1997,1998,1,1994,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36958849,6.660717407,8.962675416,15.98574079,26.96690246,60.16473971,39.25062218,24.71187651,10.89279768,3.151019705,8.22624437,6.150744905,7.24793492,0,0,0,0,0,0,0,0,0,0
7 Days,2002,1998,4,2014,12, ,0,0,0,0,0,0,8.856803357,0,0,0,7.470936133,7.758475847,19.81282159,4.576545194,10.3855674,18.80590744,14.13539277,75.98730559,106.986452,73.10211017,68.51463207,39.28070538,3.10930592,32.8725234,7.898647831,0,0,0,0,0,0,0,0,0,8.856803357,0
7 Things,2008,1998,10,1985,23, ,0,0,0,0,0,15.4117335,0,0,0,0,0,0,6.373461987,13.20530876,0,4.875338676,18.57429655,54.18026115,96.11819401,38.77702861,31.74800429,18.14329948,0,3.223948846,9.555318667,14.15968222,7.758475847,0,8.163798576,0,0,5.91492447,0,0,8.163798576,0
7 Things,2008,1998,10,1985,23, ,0,0,0,0,0,8.163798576,0,0,0,0,0,0,0,13.20530876,0,4.875338676,18.57429655,61.65119728,91.55255105,34.42913781,34.3036695,23.86773673,0,3.223948846,9.555318667,14.15968222,7.758475847,0,8.163798576,0,0,5.91492447,0,0,8.163798576,0
11-Jul,2014,1998,16,2002,12, ,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24793492,0,0,7.300131931,16.50119324,57.41812098,45.49594861,36.6201503,36.48661709,25.72915264,20.41379451,19.2747517,10.70073868,0,0,10.1098818,0,13.80343405,0,0,0,0,8.856803357
8th World Wonder,2004,1998,6,1980,24, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.590197542,9.223788007,24.96452721,44.61532474,47.54146125,37.72819785,7.251909212,8.503485587,2.423000094,0,4.912796278,0,0,6.9117473,0,0,0,0,0,0,0,0
99 Problems,2004,1999,5,2006,2, ,0,0,0,0,0,0,0,0,0,8.163798576,0,15.92227442,10.74937269,6.778358185,29.95927532,22.6417889,46.76211126,75.3634812,128.9076795,160.0823243,68.1883858,118.4485966,83.83152258,62.01213733,51.56332489,28.6006238,32.68820762,10.40939066,0,6.025865974,0,0,0,8.163798576,0,8.856803357
A Bay Bay,2007,2000,7,2005,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,6.778358185,15.72318074,8.975051393,16.690242,51.15587838,84.75654325,75.03622755,135.6277487,64.56770388,68.43651345,62.7154413,72.22084267,40.74440756,14.82423153,24.73128631,20.90838392,7.758475847,0,0,0,0,0,0
A Little Bit Longer,2008,1998,10,1980,28, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33513134,0,3.047375507,25.5538436,51.30911383,9.659736153,36.96660236,7.245238549,3.151019705,0,0,0,6.0863485,0,0,0,0,0,0,0,0,0
A Little Bit Stronger,2011,1998,13,1980,31, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.903143116,23.7464655,53.9635076,89.57735022,32.86232194,23.4832547,30.92473004,17.84262484,6.9117473,4.226974106,0,0,0,0,0,0,0,0,0,0,0
A Little Less Conversation,2002,1997,5,1982,20, ,0,0,8.856803357,0,0,0,0,0,0,0,0,0,0,12.69054882,0,0,17.67205167,39.26725785,23.05717112,32.32545608,24.54216536,21.36398425,3.529822892,0,9.877637373,0,0,0,0,0,0,0,0,0,0,0
A Little More Country Than That,2010,1998,12,1980,30, ,0,0,0,0,0,0,0,0,0,7.470936133,0,0,0,0,0,17.52025779,17.75730708,29.18266908,61.76938006,51.44522253,33.31742349,40.18005738,30.16355834,11.57983557,4.265633258,6.555499129,0,0,6.21959564,0,0,0,0,0,0,0
A Little Past Little Rock,1998,1998,0,2002,4, ,0,0,0,0,0,0,0,0,0,0,0,0,6.460331167,0,0,2.906524128,19.89697092,32.0343502,86.04337252,69.16398839,27.74852569,6.675531009,18.16022002,0,0,5.724437254,0,0,0,0,0,0,0,0,0,0
A Long Walk,2001,1998,3,1986,15, ,0,0,0,0,0,7.065755682,15.4117335,0,8.163798576,0,0,4.536694098,0,7.630407979,11.29750093,13.24251724,20.75555938,44.45358165,90.88186354,70.43380358,30.66551112,23.38748717,10.98161439,13.58513358,0,21.00401291,7.065755682,0,0,0,0,0,0,0,0,0
A Milli,2008,1998,10,2008,0, ,8.856803357,0,0,0,0,0,0,8.856803357,0,0,0,0,13.84411387,10.63383362,5.124955551,21.92165752,27.78281071,90.94023769,120.835021,97.49085055,99.27018458,77.27257422,43.73556256,52.8629597,41.22027876,42.73190762,15.85608454,33.64887745,33.18004699,14.94215676,23.24204325,23.86321412,0,0,0,8.163798576
A Moment Like This,2002,1998,4,1980,22, ,0,0,0,0,0,0,0,0,0,4.498402211,0,4.661465873,0,7.945062367,7.589383302,16.14825473,12.19073274,40.5590955,42.32971122,31.47984206,10.06354385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A New Day Has Come,2002,1997,5,1980,22, ,0,0,0,0,0,0,0,0,0,0,0,0,0,6.373461987,19.78211743,18.09788665,28.85212839,52.85385241,44.11220287,27.96414986,3.75634338,0,5.034549944,0,0,0,0,0,0,0,0,0,0,0,0,0
A Night To Remember,1999,1998,1,1993,6, ,0,0,0,0,0,0,0,0,0,0,0,0,0,8.856803357,3.529822892,14.62814137,19.94986613,35.20372217,54.48923752,18.33923088,17.02294471,8.769452432,3.039247522,0,4.590197542,0,0,0,0,0,0,0,0,0,0,0
A Public Affair,2006,1998,8,2008,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,5.306285536,11.76887817,2.888087885,17.94704426,25.63736893,41.18432199,30.40215682,22.10100613,18.98392709,8.411382917,0,0,0,0,0,7.470936133,6.025865974,0,0,0,8.163798576,0,0
A Puro Dolor (Purest Of Pain),2000,2001,1,2003,3, ,0,0,0,0,0,0,0,0,0,0,17.71360671,6.778358185,0,8.856803357,12.04410776,10.88906335,4.965865378,15.73111123,45.00742208,37.39803262,26.87789973,51.32511552,19.29198778,33.63588114,8.163798576,22.88437514,8.856803357,0,0,0,0,0,8.163798576,0,26.57041007,0
A Real Fine Place To Start,2005,1998,7,2004,1, ,0,0,0,0,0,0,0,0,0,0,0,0,4.102643365,3.201135499,5.863773211,2.776737828,36.08174476,46.34645192,75.8817409,18.48526886,21.87724697,14.38319149,9.383084305,9.021168951,8.856803357,0,0,0,0,0,0,0,0,0,0,0
A Rose Is Still A Rose,1998,1998,0,2006,8, ,0,0,0,0,0,0,0,0,0,0,6.9117473,0,4.102643365,9.409532702,16.75916212,32.44494922,47.70279746,38.8363971,64.59684736,48.26924604,34.24589477,11.65896985,5.921304849,0,5.641339534,0,8.856803357,0,0,0,0,0,0,0,0,0
A Sky Full Of Stars,2014,1998,16,1980,34, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.303134661,11.73689698,6.164411978,16.64999165,23.59999345,14.4882966,9.374573463,0,0,0,1.713838797,0,6.025865974,0,0,0,0,0,0,0,0,0
A Song For Mama,1998,1998,0,1980,18, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.38222611,38.19756431,50.83670596,60.42904403,37.80578448,15.81442571,9.915901356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Thousand Miles,2002,1998,4,1980,22, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.511000381,11.28140097,31.99760078,58.30033951,19.4613966,13.76470676,0,5.034549944,4.523762911,0,0,0,0,0,0,0,0,0,0,0,0
A Thousand Years,2012,1998,14,1980,32, ,0,0,0,0,0,0,0,0,0,0,0,0,4.498402211,0,8.373499737,15.14680965,14.78322082,37.21536374,53.00221888,17.72684363,14.06061931,3.977726892,3.10930592,0,1.713838797,0,0,0,0,0,0,0,0,0,0,0
A Woman Like You,2012,1998,14,1998,14, ,0,0,0,0,0,0,0,0,0,0,5.14891151,6.9117473,0,7.470936133,8.827562536,9.096941417,30.81416613,76.84655906,106.1641492,56.34828471,58.61901585,41.91494484,22.66970022,21.53316092,14.80851556,12.14320073,0,0,0,0,6.0863485,0,0,0,0,0
A Woman's Worth,2002,1998,4,1991,11, ,0,0,0,0,0,0,0,0,0,7.065755682,0,8.856803357,0,4.275543154,0,23.55178308,28.2679755,53.30716781,84.22078442,36.0733571,11.78104809,27.33136578,8.408222046,6.0863485,5.250999092,2.647830482,0,0,0,0,0,0,0,0,0,0
A Year Without Rain,2010,1998,12,1990,20, ,0,0,0,0,0,0,0,0,0,0,8.856803357,0,5.863773211,5.124955551,9.278943862,0,28.17918589,56.57730703,61.39897705,32.55979645,17.231015,0,8.163798576,0,0,14.02629311,0,0,0,0,7.065755682,0,0,0,0,0
AM To PM,2001,1999,2,2004,3, ,0,0,0,0,0,0,0,0,0,8.856803357,0,0,0,0,0,6.058554183,17.98711419,39.55461728,53.27104532,57.28281118,40.67940315,35.03951662,12.10203704,4.380621153,7.758475847,2.976719785,0,0,0,0,0,0,0,0,0,0
ATLiens,1997,1998,1,2002,5, ,0,8.163798576,0,0,0,0,7.24793492,0,0,0,7.470936133,0,5.395472434,13.54149638,12.67479896,41.56551314,43.00359079,84.19099227,164.390374,103.2822309,114.3009483,111.429576,76.64424253,26.27946386,27.88444385,28.72600452,30.10319371,0,0,0,7.758475847,8.163798576,0,0,0,0
Aaron's Party (Come Get It),2000,1998,2,2006,6, ,0,0,0,0,0,0,0,0,0,0,0,0,7.470936133,25.73237519,5.124955551,12.45690529,50.29883821,64.68869096,151.5956786,133.3646435,78.04824616,66.01835414,42.94673623,11.29965641,5.602260735,22.69761299,13.28520929,14.53683403,0,0,0,0,0,0,0,0
About The Money,2014,1998,16,2010,4, ,0,0,0,0,0,0,0,0,0,0,8.856803357,0,0,5.173462509,0,3.596204687,34.23121886,58.36568975,124.977221,56.51330132,113.1825628,76.6830692,84.66446011,63.73410116,29.94873259,50.18710399,18.77927092,0,5.564662302,27.37731836,24.26853685,0,0,7.758475847,8.856803357,8.856803357
