"3",355.0,0.2535211267605634,"and","you","1","2","3","countin","the","me","in","not","1 2","2 3","countin 1","you and","and me","3 not","not only","only you","me got","got one","1 2 3","countin 1 2","you and me","2 3 not","3 not only","not only you","only you and","and me got","me got one","got one eighty",51,27,15,32,57,89,1,35,32,0,13,0,3,"2009-10-24",top10
"7",443.0,0.3002257336343115,"and","will","the","all","in","of","them","we","7","a","in the","all 7","watch them","them fall","we will","and we","and a","of love","7 and","and we'll","watch them fall","and we will","all 7 and","7 and we'll","and we'll watch","we'll watch them","them fall they","fall they stand","they stand in","stand in the",64,39,25,53,23,72,0,48,34,0,81,0,4,"1993-02-27",top10
"17",337.0,0.27596439169139464,"seventeen","and","she","sexy","was","years","old","i","a","only","she was","seventeen years","years old","sexy seventeen","was only","only seventeen","seventeen seventeen","seventeen and","old sexy","sexy sexy","seventeen years old","she was only","was only seventeen","only seventeen seventeen","sexy seventeen years","old sexy sexy","sexy sexy seventeen","years old sexy","years old seventeen","sexy she was",60,25,49,49,24,49,4,15,30,3,27,0,2,"1984-08-18",top40
"19",466.0,0.44206008583690987,"of","19","the","war","to","vietnam","was","none","them","it","19 19","of them","none of","of the","ni-ni-ni 19","them received","received a","the vietnam","them none","to do","none of them","19 19 19","them none of","of them received","them received a","of them none","world war ii","welcome none of","received a hero's","a hero's welcome",84,9,34,32,35,136,13,54,20,0,38,0,11,"1985-07-20",top20
"22",300.0,0.33,"like","uh","you","","of","it","the","we","feels","one","uh uh","it feels","feels like","like one","one of","of those","those nights","nights we","it","i gotta","it feels like","like one of","one of those","of those nights","uh uh uh","feels like one","those nights we","i gotta have","gotta have you","nights we ditch",55,8,25,40,14,55,4,42,8,18,29,0,2,"2013-05-11",top20
"23",509.0,0.3379174852652259,"on","my","the","i","feet","","up","with","j’s","like","on my","my feet","j’s on","in the","feet j’s","my j's","with my","turn up","on the","the club","j’s on my","on my feet","my feet j’s","feet j’s on","in the club","i'm in","i'm in the","the club high","club high on","high on purp",59,4,21,63,5,165,6,97,23,0,64,0,2,"2014-03-01",top50
"23",509.0,0.3379174852652259,"on","my","the","i","feet","","up","with","j’s","like","on my","my feet","j’s on","in the","feet j’s","my j's","with my","turn up","on the","the club","j’s on my","on my feet","my feet j’s","feet j’s on","in the club","like me","i'm in","i'm in the","the club high","club high on",59,4,21,63,5,165,6,97,23,0,64,0,2,"2013-10-19",top20
"23",509.0,0.3379174852652259,"on","my","the","i","feet","","up","with","j’s","like","on my","my feet","j’s on","in the","feet j’s","my j's","with my","turn up","on the","the club","j’s on my","on my feet","my feet j’s","feet j’s on","in the club","like me","i'm in","i'm in the","the club high","club high on",59,4,21,63,5,165,6,97,23,0,64,0,2,"2013-12-14",top20
"23",509.0,0.3379174852652259,"on","my","the","i","feet","","up","with","j’s","like","on my","my feet","j’s on","in the","feet j’s","my j's","with my","turn up","on the","the club","j’s on my","on my feet","my feet j’s","feet j’s on","in the club","like me","i'm in","i'm in the","the club high","club high on",59,4,21,63,5,165,6,97,23,0,64,0,2,"2013-10-12",top20
"23",509.0,0.3379174852652259,"on","my","the","i","feet","","up","with","j’s","like","on my","my feet","j’s on","in the","feet j’s","my j's","with my","turn up","on the","the club","j’s on my","on my feet","my feet j’s","feet j’s on","in the club","like me","i'm in","i'm in the","the club high","club high on",59,4,21,63,5,165,6,97,23,0,64,0,2,"2014-01-04",top20
"99",151.0,0.36423841059602646,"i","99","you","oh","love","it","never","would","don't","to","oh 99","99 i","i love","love you","you 99","it would","i never","you i","never thought","thought it","i love you","99 i love","love you 99","oh 99 i","you 99 i","you i never","i never thought","never thought it","thought it would","it would happen",43,2,6,43,8,8,3,1,14,7,13,0,3,"1980-03-15",top30
"679",562.0,0.3594306049822064,"i","my","got","baby","you","her","i'm","a","","she","i got","remy boyz","press rewind","in my","they know","know us","like yeah","mine she","i press","got this","they know us","i press rewind","i got this","got this sewed","this sewed up","sewed up remy","up remy boyz","remy boyz they","boyz they know","i'm like",98,12,33,102,10,150,5,61,15,2,66,0,8,"2015-10-31",top10
"808",505.0,0.31485148514851485,"eight","baby","to","like","boom","me","be","ooh","goin","and","be goin","boom baby","baby boom","ooh baby","baby ooh","boom like","like an","an eight","eight o","o eight","boom baby boom","ooh baby ooh","boom like an","like an eight","an eight o","eight o eight","circles like a","like a figure","a figure eight","feels good from",85,11,20,62,30,145,22,56,25,1,42,0,6,"1999-06-12",top10
"911",475.0,0.3431578947368421,"i","the","i'm","you","my","to","and","me","in","trouble","i'm in","through my","this is","is the","the kind","kind of","of love","love that","used to","to warn","if this is","this is the","is the kind","the kind of","kind of love","of love that","used to warn","to warn me","warn me about","me about man",82,15,23,77,8,120,13,58,32,3,39,0,5,"2000-11-25",top40
"1979",231.0,0.5238095238095238,"the","and","we","to","","don't","i","of","you","see","we don't","don't even","even care","and i","faster than","with the","and the","to see","see","that","don't even care","to see","see  that","that we","that we don't","we don't even","even care to","care to shake","to shake these","shake these zipper",45,11,8,23,2,55,8,29,16,0,31,0,3,"1996-03-30",top20
"1985",344.0,0.436046511627907,"and","her","hoo","she","she's","was","the","still","on","a","woo hoo","hoo hoo","springsteen madonna","way before","before nirvana","there was","was u2","u2 and","and blondie","and music","woo hoo hoo","way before nirvana","there was u2","was u2 and","u2 and blondie","and music still","music still on","still on mtv","her two kids","two kids in",58,12,17,31,12,119,3,40,20,0,26,0,6,"2004-11-13",top30
"1999",496.0,0.3487903225806452,"party","say","nineteen","ninety-nine","i","gonna","it","to","zero","you","nineteen ninety-nine","out of","of time","i'm gonna","we gonna","thousand zero","zero zero","zero party","party over","over oops","out of time","two thousand zero","thousand zero zero","zero zero party","zero party over","party over oops","over oops out","oops out of","so tonite i'm","tonite i'm gonna",96,8,26,55,37,125,11,52,37,5,36,0,8,"1983-07-23",top20
"#1",2.0,1.0,"browse","artists","artists","artists","artists","artists","artists","artists","artists","artists","bomb? browse","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","a bomb? browse","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists",0,0,0,0,0,2,0,0,0,0,0,0,0,"2001-12-15",top30
"#Beautiful",2.0,1.0,"browse","artists","artists","artists","artists","artists","artists","artists","artists","artists","artists browse","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists browse","artists browse artists","artists browse artists","artists browse artists","artists browse artists","artists browse artists","artists browse artists","artists browse artists","artists browse artists","artists browse artists",0,0,0,0,0,2,0,0,0,0,0,0,0,"2013-06-22",top20
"#SELFIE",326.0,0.5153374233128835,"i","me","a","selfie","take","you","that","the","go","","let me","me take","selfie","take a","a selfie","do you","he was","you think","that girl","selfie let","let me take","me take a","take a selfie","a selfie","selfie let me","don't know if","do you think","selfie  selfie","i don't know","kept on seeing",79,5,13,49,4,69,4,25,20,3,45,0,10,"2014-04-05",top20
"#thatPOWER",1.0,1.0,"","","","","","","","","","","selfie","selfie","selfie","selfie","selfie","selfie","selfie","selfie","selfie","selfie","a selfie","a selfie","a selfie","a selfie","a selfie","a selfie","a selfie","a selfie","a selfie","a selfie",0,0,0,0,0,1,0,0,0,0,0,0,0,"2013-05-11",top20
"' 03 Bonnie & Clyde",588.0,0.35034013605442177,"my","and","the","me","i","girlfriend","boyfriend","you","is","this","me and","and my","my boyfriend","my girlfriend","down the","all i","i need","need in","in this","this life","me and my","and my girlfriend","and my boyfriend","all i need","i need in","need in this","in this life","this life of","life of sin","of sin is",81,38,22,109,3,143,7,78,33,2,66,0,6,"2002-12-28",top10
"' 65 Love Affair",320.0,0.296875,"i","do-wop-diddy","wop-diddy","wop-doo","you","can","hear","love","we","was","do-wop-diddy wop-diddy","wop-diddy wop-doo","wop-doo do-wop-diddy","can hear","'65 love","love affair","well i","go back","if i","i could","do-wop-diddy wop-diddy wop-doo","wop-diddy wop-doo do-wop-diddy","wop-doo do-wop-diddy wop-diddy","'65 love affair","if i could","i could go","could go back","well i know","to that wonderful","that wonderful '65",56,11,26,52,8,64,6,31,26,0,39,0,1,"1982-05-22",top10
"' Til My Baby Comes Home",480.0,0.2875,"i","my","baby","'til","she","me","home","alright","i'm","comes","my baby","'til my","comes home","alright 'til","baby comes","i'm alright","then i'm","i know","my ba-ba-baby","baby 'til","'til my baby","alright 'til my","my baby comes","baby comes home","then i'm alright","i'm alright 'til","my baby 'til","baby 'til my","i know i","know i know",91,7,12,114,0,99,6,39,45,0,57,0,10,"1985-05-25",top30
"' Til You Do Me Right",433.0,0.279445727482679,"you","to","i","'til","me","don't","your","do","change","even","to you","'til you","i don't","don't even","do me","me right","you do","even wanna","is gonna","gonna come","i don't even","you do me","do me right","'til you do","don't even wanna","is gonna come","to you i","me right i","right i don't","talk to you",134,4,24,120,1,36,27,23,45,0,13,0,6,"1995-10-07",top40
"(Baby Tell Me) Can You Dance",352.0,0.3522727272727273,"you","dance","can","to","i","me","tell","the","is","want","can you","you dance","dance can","tell me","want to","to know","i really","really want","me can","what i","can you dance","you dance can","dance can you","want to know","i really want","really want to","tell me can","me can you","what i really","to know is",91,5,8,79,2,45,17,36,16,1,44,0,8,"1987-12-19",top50
"(Can't Live Without Your) Love And Affection",271.0,0.44280442804428044,"i","can't","your","love","on","live","without","my","she","and","i can't","your love","can't live","live without","without your","love and","and affection","on my","give up","affection i","i can't live","can't live without","live without your","without your love","your love and","love and affection","and affection i","the outside looking","outside looking in","- oh -",50,8,6,48,1,53,5,42,15,4,38,0,1,"1990-09-29",top10
"(Everything I Do) I Do It For You",18.0,0.9444444444444444,"to","not","in","a","position","we","display","these","lyrics","due","love we","are not","not in","in a","a position","position to","to display","display these","these lyrics","lyrics due","your love we","we are not","are not in","not in a","in a position","a position to","position to display","to display these","display these lyrics","these lyrics due",3,0,1,1,0,5,2,2,1,0,3,0,0,"1991-07-27",top10
"(Forever) Live And Die",162.0,0.30246913580246915,"i","never","knew","you","and","why","make","me","to","at","i never","never knew","knew i","knew why","make me","why you","you make","me wanna","wanna cry","cry i","i never knew","never knew i","knew i never","never knew why","knew why you","why you make","you make me","make me wanna","me wanna cry","wanna cry i",43,7,2,41,0,14,4,11,24,2,6,1,7,"1986-12-06",top20
"(God Must Have Spent) A Little More Time On You",362.0,0.3287292817679558,"you","on","i","a","that","your","and","like","of","more","on you","you on","is like","like a","a little","little more","more time","and deep","time on","god must","you on you","on you on","is like a","a little more","little more time","more time on","god must of","must of spent","of spent a","spent a little",51,11,39,44,2,71,1,52,19,2,59,0,11,"1999-02-27",top10
