SONG,YEAR,VERBS,CONJUNCTION,ADJECTIVE,PRONOUN,NUMBER,NOUN,TO,PREPOSITION,ADVERB,INTERJECTION,OTHER,FOREIGN,INTERROGATIVE,SIMPLE NARC,COMPLEX NARC,,,
A Face In The Crowd,1990,10,2,1,10,0,37,0,35,7,0,36,0,0,4,2.4,,,
A Fine Fine Day,1984,56,20,34,47,3,70,3,27,33,2,46,0,2,3,0.765957447,,,
A Girl In Trouble (Is A Temporary Thing),1984,30,2,12,7,0,67,6,23,7,0,35,0,3,0,0,,,
A Girl Like You,1995,31,6,4,22,0,33,1,23,26,0,13,0,1,7,4.454545455,,,
A Girl Like You,1990,71,10,8,52,1,63,14,37,26,3,46,0,2,4,2.230769231,,,
A Kind Of Magic,1986,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
A Life Of Illusion,1981,19,3,7,12,1,28,0,22,11,0,19,0,3,-1,-1.833333333,,,
A Little Bit Longer,2008,72,16,21,32,0,28,4,11,18,1,17,0,9,0,0,,,
A Little Bit Of Love (Is All It Takes),1986,128,7,59,70,3,112,19,50,22,7,85,0,5,7,3.2,,,
A Little Bit Of Love (is All It Takes),1986,128,7,59,70,3,112,19,50,22,7,85,0,5,7,3.2,,,
A Little Bit Stronger,2011,79,16,41,58,0,66,3,32,22,0,41,0,4,15,8.275862069,,,
A Little In Love,1981,34,6,37,50,2,55,5,51,42,6,51,0,2,11,6.38,,,
A Little Less Conversation,2002,39,16,33,22,0,52,2,12,15,0,32,0,1,10,5,,,
A Little Love,1990,24,2,21,23,0,55,1,12,5,0,35,0,5,2,0.695652174,,,
A Little Love,1984,67,9,50,28,0,51,6,22,59,0,90,0,0,7,3.25,,,
A Little More Country Than That,2010,27,7,31,12,3,63,5,40,10,0,36,0,3,0,0,,,
A Little Past Little Rock,1998,34,15,28,25,0,56,6,47,25,0,40,0,11,7,3.64,,,
A Little Respect,1989,43,5,9,42,0,30,7,20,13,4,21,0,2,10,5.238095238,,,
A Long Walk,2001,62,29,31,44,2,92,13,26,44,0,57,0,1,-23,-30.84090909,,,
A Love Bizarre,1986,24,1,11,24,1,39,0,23,7,0,29,0,8,-18,-22.5,,,
A Love Song,1982,47,8,6,27,1,45,2,21,11,0,42,0,9,-7,-9.333333333,,,
A Lover's Holiday,1980,39,6,12,21,0,77,3,18,30,0,22,0,1,1,0.285714286,,,
A Matter Of Trust,1986,53,11,18,34,0,61,9,32,25,0,53,0,8,-1,-1.5,,,
A Milli,2008,78,17,32,96,5,161,6,53,25,1,64,0,17,17,8.677083333,,,
A Moment Like This,2002,45,4,7,31,3,51,5,37,12,0,62,0,3,4,2.193548387,,,
A New Day Has Come,2002,66,10,16,36,0,62,2,33,21,7,42,0,3,13,5.055555556,,,
A Night To Remember,1999,45,7,11,25,1,38,10,13,23,1,26,0,6,4,1.44,,,
A Night To Remember,1982,99,9,30,31,1,88,26,16,15,0,73,0,4,4,1.935483871,,,
A Nightmare On My Street,1988,149,31,32,103,2,198,15,77,39,1,78,0,21,16,5.126213592,,,
A Nightmare On My Street,1988,149,31,32,103,2,198,15,77,39,1,78,0,21,16,5.126213592,,,
A Penny For Your Thoughts,1982,79,2,8,125,1,124,6,94,22,0,64,0,4,39,24.648,,,
A Public Affair,2006,65,3,9,12,0,87,3,30,19,0,74,0,10,2,1.166666667,,,
A Puro Dolor (Purest Of Pain),2000,25,0,6,13,0,133,2,18,12,1,24,18,1,10,7.692307692,,,
A Real Fine Place To Start,2005,33,2,18,24,0,68,5,23,29,3,25,0,9,4,2.333333333,,,
A Rose Is Still A Rose,1998,85,18,10,74,0,78,6,18,35,4,51,0,5,2,1,,,
A Shoulder To Cry On,1989,61,10,11,27,3,48,13,24,24,0,39,0,12,2,0.962962963,,,
A Sky Full Of Stars,2014,23,2,11,17,0,27,3,21,5,0,17,0,0,3,1.764705882,,,
A Song For Mama,1998,67,8,6,86,0,71,14,38,35,8,31,0,7,30,18.8372093,,,
A Thin Line Between Love & Hate,1996,56,10,35,43,4,76,2,45,18,0,44,0,2,5,1.511627907,,,
A Thousand Miles,2002,71,14,4,62,4,34,0,26,23,0,31,0,1,7,3.5,,,
A Thousand Years,2012,36,4,8,29,10,26,5,17,15,0,19,0,3,4,1.931034483,,,
A View To A Kill,1985,26,2,15,13,0,54,9,27,2,0,35,0,2,-7,-9.153846154,,,
A Whole New World,1993,30,5,29,25,2,46,7,16,14,0,27,0,6,1,0.44,,,
A Woman Like You,2012,67,14,28,43,2,76,4,34,27,0,39,0,3,6,1.255813953,,,
A Woman Needs Love,1981,73,6,9,60,1,48,3,41,33,3,35,0,3,0,0,,,
A Woman's Worth,2002,73,15,51,59,0,81,11,17,23,0,62,0,8,7,2.728813559,,,
A Word In Spanish,1988,64,13,16,52,5,64,7,46,16,0,47,0,3,3,1.096153846,,,
A Year Without Rain,2010,49,4,4,45,1,84,2,48,10,0,37,0,6,11,6.355555556,,,
ABC-123,1993,81,7,16,77,1,61,15,38,27,0,36,0,1,20,11.42857143,,,
AM To PM,2001,52,24,3,37,13,181,19,67,24,1,106,0,3,-9,-14.10810811,,,
ATLiens,1997,115,45,27,102,0,176,17,82,50,8,76,0,12,8,4.235294118,,,
Aaron's Party (Come Get It),2000,176,7,23,74,3,148,41,90,59,2,99,0,11,5,1.621621622,,,
Abacab,1982,41,6,8,31,4,52,5,30,29,1,32,0,3,1,0.548387097,,,
About The Money,2014,82,4,25,65,4,171,8,88,25,0,71,0,7,7,3.015384615,,,
About Us,2006,157,23,23,125,2,114,6,64,38,1,31,0,5,-13,-19.864,,,
About You Now,2009,65,8,13,82,3,25,3,29,20,1,21,0,16,-4,-6.292682927,,,
Abracadabra,1982,57,11,13,52,0,53,3,20,6,1,26,0,3,10,2.884615385,,,
Absolutely (Story Of A Girl),2000,72,19,24,49,0,66,7,43,48,0,51,0,18,-7,-12.57142857,,,
Accidentally In Love,2004,59,4,17,27,0,64,5,52,38,1,31,0,2,3,0.666666667,,,
According To You,2010,69,5,21,61,0,38,25,46,16,4,22,0,5,15,6.885245902,,,
Achy Breaky Heart,1992,55,14,11,67,0,59,5,11,23,2,28,0,2,29,16.88059701,,,
Across The River,1990,57,10,16,48,3,54,8,39,38,0,37,0,7,1,0.208333333,,,
Across The Universe,2005,23,4,9,19,2,67,4,26,7,0,10,0,2,12,9.473684211,,,
