Song,Actual,TF-IDF,TF-IDF Error,Custom,Custom Err, ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
3,2009,2006,3,1980,29, ,1.0834981300718995E-21,1.771256728911653E-7,1.977052117429794E-6,5.1984069706307504E-6,0.25758771877959785,0.0035254453179091112,0.6955881796198146,1.8431643861944402,0.8144979761762854,2.107574049037384,3.697726798799602,5.499161495048519,9.905512793659746,33.55543731491931,15.450512401198006,11.423884685809234,9.628953456315749,25.965696283380332,43.56933577858896,22.539760620134302,12.079841394428092,30.000306713208605,49.19318211201179,44.80583123121071,59.72311989813761,51.78104342265294,76.08479735080991,45.725940658905444,39.37994457987332,38.37624657195856,44.521060316060755,45.07755076904685,16.271014240920984,14.60983547983717,15.184484879177475,32.45464828063567,
7,1993,1997,4,1997,4, ,4.2232532695895765E-19,0.41699260900543167,1.46991761387752E-4,1.1474532008383596E-5,2.842182959411953E-8,2.450349035987667,0.043553592190566655,0.0401127078452432,0.17244955891049096,2.977833046205535,30.034084803485648,23.41311523209615,31.178883368111606,77.83138758751133,34.969500308821004,82.10309347137373,38.198665540716526,146.61079483569685,81.51304382427728,11.834828107985054,19.490606117903447,28.986718769882813,58.812258111026885,74.90023232202235,79.95295043000617,36.45045542303441,96.5946278306678,49.92981591585743,48.00560951036721,55.11402292855444,57.2674454117432,78.3709473345303,27.3307825581891,65.83744470950879,34.26177620896306,6.253427311240861,
22,2013,2011,2,2011,2, ,3.3836394176677107E-10,1.0470790653337745E-6,0.07947849750657894,4.4583548781051903E-4,0.3158899645953179,0.4847240932724667,0.4632265024434415,1.470399616362309,0.8146459789849,1.2128597092661415,18.706485933145967,24.003480417090245,25.039680800977585,61.381501992680214,6.2761273863539975,29.0770263372068,14.232597266615823,21.687219450262322,41.38425276734074,11.789378560790784,20.884621753354814,33.28172426641604,35.43968930163842,25.656579041599194,72.9347769530471,54.463257069920104,70.11346077342225,39.455122838196615,35.71513228893786,30.228015856635807,38.94455127385648,100.95724883696546,29.47638694947805,36.08155549983888,37.539089414948485,12.171584549502153,
23,2014,2004,10,2003,11, ,0.002933080988294418,3.635123239032517E-8,0.010341502024574093,5.5147693127242016E-5,0.36798245539942553,2.6920188444522233,0.05431866825408588,0.6095298054701053,1.6082358666971774,0.8948356828801571,28.637739671525555,29.570113233347946,26.728682107110416,63.00650260851429,46.751496604642625,57.98631273321353,18.67239986279197,75.78016161371703,105.9517524968761,39.57687321208786,42.32816500617541,72.88521851068822,56.572656681708,126.15007389900686,155.9478341038998,108.17807277913107,149.22903699085842,111.34566011177448,104.1751148204068,99.30530038083864,154.16319027153656,121.27347799906494,85.02142336974325,107.64518986537098,75.95494542380958,61.345471855847734,
23,2013,2004,9,2003,10, ,0.002933080988294418,3.635123239032517E-8,0.010341502024574093,5.5147693127242016E-5,0.36798245539942553,2.6920188444522233,0.05431866825408588,0.6095298054701053,1.6082358666971774,0.8948356828801571,28.637739671525555,29.570113233347946,26.728682107110416,63.00650260851429,46.751496604642625,57.98631273321353,18.67239986279197,75.78016161371703,105.9517524968761,39.57687321208786,42.32816500617541,72.88521851068822,56.572656681708,126.15007389900686,155.9478341038998,108.17807277913107,149.22903699085842,111.34566011177448,104.1751148204068,99.30530038083864,154.16319027153656,121.27347799906494,85.02142336974325,107.64518986537098,75.95494542380958,61.345471855847734,
23,2013,2004,9,2003,10, ,0.002933080988294418,3.635123239032517E-8,0.010341502024574093,5.5147693127242016E-5,0.36798245539942553,2.6920188444522233,0.05431866825408588,0.6095298054701053,1.6082358666971774,0.8948356828801571,28.637739671525555,29.570113233347946,26.728682107110416,63.00650260851429,46.751496604642625,57.98631273321353,18.67239986279197,75.78016161371703,105.9517524968761,39.57687321208786,42.32816500617541,72.88521851068822,56.572656681708,126.15007389900686,155.9478341038998,108.17807277913107,149.22903699085842,111.34566011177448,104.1751148204068,99.30530038083864,154.16319027153656,121.27347799906494,85.02142336974325,107.64518986537098,75.95494542380958,61.345471855847734,
23,2013,2004,9,2003,10, ,0.002933080988294418,3.635123239032517E-8,0.010341502024574093,5.5147693127242016E-5,0.36798245539942553,2.6920188444522233,0.05431866825408588,0.6095298054701053,1.6082358666971774,0.8948356828801571,28.637739671525555,29.570113233347946,26.728682107110416,63.00650260851429,46.751496604642625,57.98631273321353,18.67239986279197,75.78016161371703,105.9517524968761,39.57687321208786,42.32816500617541,72.88521851068822,56.572656681708,126.15007389900686,155.9478341038998,108.17807277913107,149.22903699085842,111.34566011177448,104.1751148204068,99.30530038083864,154.16319027153656,121.27347799906494,85.02142336974325,107.64518986537098,75.95494542380958,61.345471855847734,
23,2014,2004,10,2003,11, ,0.002933080988294418,3.635123239032517E-8,0.010341502024574093,5.5147693127242016E-5,0.36798245539942553,2.6920188444522233,0.05431866825408588,0.6095298054701053,1.6082358666971774,0.8948356828801571,28.637739671525555,29.570113233347946,26.728682107110416,63.00650260851429,46.751496604642625,57.98631273321353,18.67239986279197,75.78016161371703,105.9517524968761,39.57687321208786,42.32816500617541,72.88521851068822,56.572656681708,126.15007389900686,155.9478341038998,108.17807277913107,149.22903699085842,111.34566011177448,104.1751148204068,99.30530038083864,154.16319027153656,121.27347799906494,85.02142336974325,107.64518986537098,75.95494542380958,61.345471855847734,
679,2015,2004,11,2015,0, ,2.7102500074590003E-38,8.764699749026648E-6,1.6368574384752923E-14,0.00202433493843188,2.4940462631162393E-13,0.08366452097275492,1.844217114122396E-13,0.0,0.0036253983559180686,2.329918528275831,22.7910104075942,40.47328935741131,42.75948223646667,34.414629965991665,38.5872432438821,83.60481515569806,27.004364956648036,83.19120677046782,98.73104286737951,22.348490505523216,29.01540826052368,60.320405283328014,127.26597770324766,135.1806323052529,183.945936272888,125.33994513576124,149.69053252316218,150.9377215411221,111.81722963411431,87.56957981942945,123.82726295559338,148.1239544899673,78.58559411765053,86.49503178083425,75.1937089544588,153.5109704149057,
808,1999,2004,5,1992,7, ,1.0393394541230792E-13,2.1834405400571318E-7,3.1123499519072993E-18,1.567467863884586E-6,4.728388960636096E-6,0.0035960069304527354,0.004493909054490181,3.7546092838241274E-6,9.464758861494529E-4,2.1500911165830368,41.36948717140672,27.980234600241793,42.042668021776585,66.3608602543622,16.97058316643332,28.001889217001207,38.33089989330075,71.94919486474137,93.29172867950396,25.826923735610603,43.94996385774091,62.91979046511322,60.57342223308679,102.63537905304399,170.96197569187785,97.3801579781302,100.54745381124722,94.91796999931262,74.56349039408809,55.19370624406737,66.40208223004619,108.13430020463736,28.873779920872515,47.287301322522595,31.72928171738132,16.855921827821575,
