Song,Year,Complex Narc
Fortunate,1999,5
Found Out About You,1994,2
Four In The Morning (I Can't Take Anymore),1985,1.142857143
FourFiveSeconds,2015,2.5
Freak Like Me,1995,0.621621622
Freak Me,1993,17.34862385
Freak The Freak Out,2011,2.566666667
Freakit,1993,4.253731343
Free,2001,11.50704225
Free,2010,-13.5
Free And Easy (Down The Road I Go),2007,0.434782609
Free As A Bird,1996,-2.8
Free Fallin',1990,0
Free Your Mind,1992,5.403508772
Free Yourself,2005,23.09803922
Freedom,1990,3.416666667
Freedom,1995,-3.733333333
Freedom,1985,5.564102564
Freedom Overspill,1986,0.571428571
Freek'n You,1995,4.245283019
Freek-A-Leek,2004,1.81512605
Freeway Of Love,1985,-1.38
Freeze,2008,10.73863636
Freeze Frame,1982,3
French Kiss,1989,8.282051282
Fresh,1985,1.617647059
Fresh Azimiz,2006,1.598130841
Friday,2011,4.064516129
Friday I'm In Love,1992,0.888888889
Friday Night,2014,-3.538461538
Friend Of Mine,1998,4.784810127
Friends,1989,2.978723404
Friends,1989,2.978723404
Friends And Lovers,1986,-18
Friends In Love,1982,0.617647059
From A Distance,1990,-8.615384615
From The Bottom Of My Broken Heart,2000,17.58823529
From This Moment On,1998,1.565217391
Frontin',2003,-1.556701031
Frozen,1998,2.159090909
Fu-Gee-La,1996,2.934782609
Full Moon,2002,2.619047619
Fun,2015,1.910447761
Funhouse,2009,0
Funkdafied,1994,0
Funky Cold Medina,1989,3.47826087
Funky Y-2-C,1994,5.068493151
Funkytown,1980,14.14285714
Funkytown,1987,14.38888889
Funny The Way It Is,2009,0.470588235
G'D Up,2000,3.411764706
G.D.F.R.,2015,5.01754386
G.H.E.T.T.O.U.T.,1997,3.208333333
Gallery,2006,2.4
Game Over (Flip),2004,1.964912281
Games,1981,2.117647059
Games People Play,1981,-8.64
Games Without Frontiers,1980,-4.333333333
Gangnam Style,2012,0
Gangnam Style,2012,0
Gangsta,1993,7.391304348
Gangsta Lean,1993,9.258064516
Gangsta Lovin',2002,9.508196721
Gangsta Luv,2010,1.983471074
Gangsta Nation,2004,-7.857142857
Gangsta's Paradise,1995,-1.5
Gangstas Make The World Go Round,1997,6.657534247
Gas Pedal,2013,3.9375
Gas Pedal,2014,3.9375
Gasolina,2005,19.17391304
Gee Whiz,1980,-3.3
Gemini Dream,1981,-1.483870968
General Hospi-tale,1981,6.591549296
Genie In A Bottle,1999,14.1147541
Genius Of Love,1982,1.227272727
Gentle,1991,5.365853659
Gentleman,2013,-6
Georgia,2006,2.470588235
Georgia On My Mind,1990,4.8125
Get A Leg Up,1991,2.318181818
Get At Me Dog,1998,6.652173913
Get Away,1993,1.96875
Get Back,2008,3.946666667
Get Back,2005,10.85271318
Get Buck In Here,2007,7.875
Get Busy,2003,3.087719298
Get Closer,1982,0
Get Down,1995,1.444444444
Get Down On It,1982,0.516129032
Get Drunk And Be Somebody,2006,0
Get Gone,1999,8.727272727
Get Here,1991,5.4
Get It On (Bang A Gong),1985,1
Get It On Tonite,2000,0.692307692
Get It Poppin',2005,1.494252874
Get It Right,2011,3
Get It Shawty,2007,3.19
Get It Together,1997,-1.681818182
Get It Up,1993,4.875
Get Like Me,2008,13.56521739
Get Low,2003,4.147540984
Get Lucky,2013,-10.8
Get Me Bodied,2013,15.6
Get Me Some Of That,2014,6.666666667
Get Money,1996,15.52238806
Get On Up,1996,0.88372093
Get On Your Boots,2009,5.4
Get On Your Feet,1989,0
Get Outta My Dreams Get Into My Car,1988,12.45283019
Get Over It,1994,0
Get Over Yourself,2001,1.620253165
Get Ready For This,1995,1.951219512
Get Right,2005,-14.08450704
Get Silly,2008,11.45652174
Get That Love,1987,4.327272727
Get The Party Started,2001,4.407407407
Get Together,1996,-3.259259259
Get Up,2008,1.101694915
Get Up,2006,5.88976378
Get Up And Go,1982,0.631578947
Get Up! (Before the Night Is Over),1990,0
Get Ur Freak On,2001,11.17647059
Get Your Shine On,2013,1.189189189
Get Your Shine On,2013,1.189189189
Get it Together,1997,-1.681818182
Get'cha Head In The Game,2006,0.15625
Getcha Back,1985,0
Gett Off,1991,0.901408451
Gettin' Jiggy Wit It,1998,2.914285714
Gettin' Over You,2010,0.846153846
Gettin' Some,2006,1.25
Gettin' You Home (The Black Dress Song),2009,2
Getting Away With It,1990,9.098591549
Getting' Some,2006,4.1
Getto Jam,1994,-15.23076923
Getto Man,1993,-1.633802817
Ghetto Cowboy,1998,3.763636364
Ghetto Cowboy,1999,3.763636364
Ghetto Cowboy,1999,3.763636364
Ghetto Love,1997,6.925925926
Ghetto Supastar (That Is What You Are),1998,4.146341463
Ghetto Supastar (That Is What You Are),1998,4.146341463
Ghetto Supastar (That Is What You Are),1998,4.146341463
Ghetto Supastar (That Is What You Are),1998,4.146341463
Ghetto Supastar (That Is What You Are),1998,4.146341463
Ghost,2015,1.96969697
Ghost Town,1988,7.693877551
Ghostbusters,1984,0.780487805
Gigolo,2004,0.989473684
Gimme All Your Lovin',1983,0.266666667
Gimme More,2007,0.96969697
Gimme Some Love,1997,3.552631579
Gimme Some Lovin',1980,-5.032258065
Gimme That,2006,2.258064516
Gimme The Light,2002,3.384615385
Gimmie That Girl,2010,2.272727273
Gin And Juice,1994,26.87837838
Girl,2005,-11.00657895
Girl,2006,12.49315068
Girl Can't Help It,1986,0
Girl Crush,2015,1.170212766
Girl I'm Gonna Miss You,1989,4.304347826
Girl Next Door,2006,0.606060606
Girl On Fire,2013,-5.428571429
Girl On Fire,2012,-5.428571429
Girl On TV,2000,3.214285714
Girl Talk,2002,4.574257426
Girl Tonite,2005,3.741176471
Girl U For Me/Lose Control,1993,3.875
Girl You Know It's True,1989,6.923076923
Girl I've Been Hurt,1993,9.573529412
Girlfight,2005,-1.602739726
Girlfriend,2002,4.5
Girlfriend,2007,3.354545455
Girlfriend,2003,7.75
Girlfriend,2007,35.65771812
Girlfriend,1988,1.358490566
Girlfriend/Boyfriend,1999,NaN
Girls,1984,1.133333333
Girls And Boys,2003,0
Girls Are More Fun,1985,1.71875
Girls Can Get It,1980,0
Girls Just Want To Have Fun,1984,0
Girls Lie Too,2004,-6.095238095
Girls Nite Out,1990,3.636363636
Girls Nite out,1990,3.636363636
Girls With Guns,1984,0.64
Girls Girls Girls,2001,3.70212766
Girls Girls Girls,1987,3.208333333
Gitty Up,1998,9.182608696
Give A Little Bit,2005,1.333333333
Give A Little Bit More,1981,4.2
Give It 2 U,2013,5.653846154
Give It 2 You,1995,0.903225806
Give It All We Got Tonight,2013,0
Give It All You Got,1980,NaN
Give It Away,2006,-1.869565217
Give It To Me,2007,2.65625
Give It To Me Baby,1981,18.40707965
Give It To You,1999,7.394495413
Give It Up,1984,0.734693878
Give It Up,1994,0.962962963
Give It Up,1992,3.360655738
Give It Up To Me,2009,9.26984127
Give It Up Turn It Loose,1993,0
Give Me All Your Love,1988,12.16
Give Me All Your Luvin',2012,10.63636364
Give Me Back My Hometown,2014,8.8
Give Me Everything,2011,3.088235294
Give Me Everything,2011,3.088235294
Give Me Just One Night (Una Noche),2000,10.49180328
Give Me One Reason,1996,-1.5
Give Me That,2005,29.53012048
Give Me The Keys (And I'll Drive You Crazy),1989,3.818181818
Give Me The Night,1980,4.4
Give Me Tonight,1984,8.56097561
Give To Live,1987,-1.75
Give U My Heart,1992,5.123595506
Give Your Heart A Break,2012,5.344444444
Given To Fly,1998,0.041666667
Gives You Hell,2010,7
Gives You Hell,2009,3.066666667
Giving Him Something He Can Feel,1992,2.425531915
Giving It Up For Your Love,1981,0.324324324
Giving Up On Love,1989,1
Giving You The Benefit,1990,4.383561644
Giving You The Best That I Got,1988,4.782608696
Glaciers Of Ice/Criminology,1995,0.46875
Glaciers Of Ice/Criminology,1995,-3.264705882
Glad You Came,2012,5.090909091
Glamorous,2007,2
Glamour Boys,1989,0.375
Glitter In The Air,2010,1.269230769
Gloria,1982,0
Glory,2015,-29
Glory Days,1985,0.186046512
Glory Of Love,1986,-1.6875
Glycerine,1996,1.628571429
Go,1986,2.307692308
Go D.J.,2004,18.51485149
Go Getta,2007,-13.36764706
Go Home,1986,-1.5
Go Insane,1984,0.5
Go Insane,1984,0.583333333
Go On,2000,-4.323529412
Go The Distance,1997,2.414634146
Go Your Own Way,2011,0.78
God Bless The U.S.A.,2003,3.157894737
God Bless The USA,2001,2.482758621
God Gave Me You,2011,12.92
God Love Her,2009,4.6
God Must Have Spent A Little More Time On You,1999,1.37254902
Goin' Crazy,2005,0
Goin' Down,1982,3.375
Going Back To Cali,1988,0.303030303
Going Back To Cali,1998,2.566666667
Going To A Go Go,1982,1.2
Gold,1984,2.2
Gold Digger,2005,0.79245283
Goldmine,1986,11.08823529
Gone,2001,9.548387097
Gone,2013,7.856060606
Gone Crazy,1999,3.428571429
Gone Till November,1998,7.405063291
Gone Gone Gone,2013,6.867924528
Gonna Make You Sweat,1991,2.888888889
Gonna Make You Sweat,1991,2.888888889
Gonorrhea,2010,1.625
Good,1995,0
Good Directions,2007,2.978723404
Good Enough,1992,1.855670103
Good Feeling,2012,1.40625
Good Felling,2012,1.40625
Good For Me,1992,5.649122807
Good For You,2015,5.333333333
Good Girl,2012,0.473684211
Good Girls,2014,0.303030303
Good Girls Go Bad,2009,1.415384615
Good Life,2007,2.247191011
Good Life,2011,1.942857143
Good Morning,2009,6.451612903
Good Morning Beautiful,2002,2.076923077
Good Stuff,1992,12.30232558
Good Thing,1989,2.068965517
Good Time,2008,0.75
Good Time,2012,1.636363636
Good Time,2012,1.636363636
Good Times,1987,1.6
Good Times,2002,0.742857143
Good Vibrations,1991,0.386363636
Goodbye,2009,3.675675676
Goodbye,2009,5.962962963
Goodbye,1986,0.277777778
Goodbye,1998,1.214285714
Goodbye Earl,2000,-1.620689655
Goodbye For Now,2006,-1.65625
Goodbye In Her Eyes,2012,0.692307692
Goodbye Is Forever,1986,-2.6
Goodbye To My Homies,1998,0.492957746
Goodbye To My Homies,1998,0.492957746
Goodbye To You,2002,2.1
Goodies,2004,1.726190476
Goody Two Shoes,1983,1.153846154
Gorilla,2013,5.820895522
Gossip Folks,2003,4.012345679
Got A Hold On Me,1984,0.260869565
Got A Love For You,1991,1.076923077
Got Me Waiting,1994,20.45528455
Got Money,2008,0.620689655
Got My Mind Set On You,1988,3.673913043
Got To Get,1990,5.85106383
Got To Get It,2000,6.376811594
Got To Get it,1999,6.376811594
Got Your Back,2010,7.580645161
Got Your Money,1999,10.70588235
Gotham City,1997,-17.33333333
Gots Ta Be,2002,2.181818182
Gotta Be,1998,5.987341772
Gotta Be Somebody,2008,5
Gotta Find You,2008,4.986666667
Gotta Get Thru This,2002,6.206896552
Gotta Go My Own Way,2007,1.650793651
Gotta Have More Love,1980,3.888888889
Gotta Man,1999,3.895652174
Gotta Tell You,2000,8.205128205
Graduation (Friends Forever),2000,-51.07042254
Grapevyne,1995,9.963768116
Great Gosh A'Mighty,1986,0
Greatest Love Of All,1986,2.148148148
Green Light,2008,6.672413793
Grenade,2011,5.6875
Grillz,2006,13.9602649
Grind With Me,2005,26.03773585
Grindin',2002,13.19117647
Groove Is In The Heart,1990,0.5
Groove Thang,1994,0
Groovy Kind Of Love,1988,2.580645161
Groovy Train,1991,-3.047619048
Grown Men Don't Cry,2001,4.150943396
Guilty,1981,-32.90322581
Guitar Man,1981,4.25
Guts Over Fear,2014,7.051094891
Gypsy,1982,0.571428571
Gypsy Woman (She's Homeless),1991,1.333333333
H*A*M,2011,3.054545455
Habits (Stay High),2014,13.47169811
Had A Dream (Sleeping With The Enemy),1984,0.930232558
Hair,2011,35.04761905
Half Of My Heart,2009,19.5
Half The Way,1980,11.84615385
Halfway Gone,2010,6.25
Hall Of Fame,2013,0
Hallelujah,2010,0
Hallelujah,2010,0
Hallelujah,2013,0.653061224
Hallelujah,2015,1.083333333
Halo,2009,1.12
Halo/Walking On Sunshine,2009,0.292682927
Hand To Hold On To,1983,0.307692308
Handle With Care,1988,6.157894737
Handlebars,2008,3.295774648
Hands,1999,-1.5
Hands Clean,2002,0.912280702
Hands Of A Working Man,1999,0
Hands Tied,1984,0.694444444
Hands To Heaven,1988,8.333333333
Hang Fire,1982,-3.733333333
Hang In Long Enough,1991,1.333333333
Hangin' On A String,1985,18.26086957
Hangin' Tough,1989,-4.6
Hanginaround,2000,0.192307692
Hanging By A Moment,2001,2.8125
Hanging On A Heart Attack,1986,0
Hangover,2014,0.816666667
Hanky Panky,1990,4.615384615
Happily Ever After,1999,3.855072464
Happy,2002,9.975
Happy,2009,8.830188679
Happy,2014,2.5
Happy,1987,9.491525424
Happy Days Are Here Again/Get Happy,2010,0
Happy People,2004,1.722222222
Happy Xmas (War Is Over),2006,-1.5
Hard,2010,10.29787234
Hard Habit To Break,1984,1.269230769
Hard Knock Life (Ghetto Anthem),1999,-17.27631579
Hard To Handle,1991,3.454545455
Hard To Love,2012,0.836065574
Hard To Say,1981,0
Hard To Say I'm Sorry,1997,2.676470588
Hard To Say I'm Sorry,1982,1.641025641
Harden My Heart,1982,15.90909091
Harder To Breathe,2003,2.25
Harlem Shake,2013,NaN
Harlem Shuffle,1986,0.272727273
Hat 2 Da Back,1993,6.089108911
Hate It Or Love It,2005,4.965517241
Hate Me,2006,17.81927711
Hate That I Love You,2007,3.363636364
Have A Heart,1990,2.875
Have A Little Mercy,1997,17.81927711
Have I Told You Lately,1993,8.784313725
Have You Ever Needed Someone So Bad,1992,1.882352941
Have You Ever Really Loved A Woman?,1995,2.191780822
Have You Ever?,1999,1.12987013
Have You Forgotten?,2003,-2.75862069
Have You Seen Her,1990,20.54644809
Haven't Met You Yet,2010,1.6
Haven't You Heard,1980,0.529411765
Having A Party,1994,2.333333333
Hay,1996,13.55932203
Hazard,1992,0.727272727
Hazy Shade Of Winter,1988,2.8125
He Can't Love U,2000,2.832
He Can't Love You,1981,2.14084507
He Could Be The One,2009,4.740740741
He Didn't Have To Be,1999,1.787234043
He Loves U Not,2000,1.44
He Wasn't Man Enough,2000,1.941176471
He'll Never Love You (Like I Do),1986,2.727272727
He's A Liar,1981,0.930232558
He's Mine,1995,1.955555556
He's So Shy,1980,2.064516129
Head Games,1980,-1.555555556
Head Over Heels,1997,7.806122449
Head Over Heels,1985,2.8
Head Over Heels,1984,0.833333333
Head To Toe,1987,0
Headed For A Fall,1980,0
Headed For A Heartbreak,1989,3.12
Headlights,2014,-13.61688312
Headlines,2011,7.338709677
Headsprung,2004,0.421052632
Headstrong,2003,-3.25
Heal The World,1993,-1.5
Healing Hands,1989,4.76
Heard 'Em Say,2005,-5.134615385
Heard It All Before,2001,7.885714286
Heart And Soul,1983,0.387096774
Heart And Soul,1987,10.32098765
Heart Attack,2013,5.173913043
Heart Attack,1982,8.866666667
Heart Attack,2012,0
Heart Hotels,1980,0
Heart Like A Wheel,1990,0.375
Heart Like A Wheel,1981,0.916666667
Heart Like Mine,2011,0.954545455
Heart Of Mine,1988,0
Heart Of Stone,1990,1.451612903
Heart Of Stone,1990,3.623376623
Heart Of The Night,1983,-9.882352941
Heart To Heart,1983,-4.5
Heartache Tonight,1980,-1.863636364
Heartbeat,1986,5.689655172
Heartbeat,1990,13.671875
Heartbeat,2012,0.483870968
Heartbeat Song,2015,2.736842105
Heartbreak Beat,1987,-1.625
Heartbreak Hotel,1981,11.5
Heartbreak Hotel,1999,20
Heartbreak Hotel,1999,20
Heartbreak Station,1991,3.818181818
Heartbreak Warfare,2010,2.857142857
Heartbreaker,1983,6.430769231
Heartbreaker,2013,5.194805195
Heartbreaker,1999,8.768656716
Heartbreaker,1980,6.967741935
Heartless,2009,5.058823529
Heartless,2009,4.888888889
Heartlight,1982,-1.5
Hearts,1981,0
Hearts Don't Think (They Feel),1992,0.762711864
Hearts On Fire,1987,-1.5
Hearts On Fire,1981,1.6
Heat Of The Moment,1991,9.423076923
Heat Of The Moment,1982,0.545454545
Heat Of The Night,1987,-1.5
Heaven,1985,-1.5
Heaven,2002,-1.5
Heaven,2004,2.88
Heaven,1998,9.098591549
Heaven,1995,1.777777778
Heaven,1989,0.3
Heaven Help Me,1989,13.44444444
Heaven In Your Eyes,1986,0.406779661
Heaven Is A Place On Earth,1987,1.5
Heaven Sent,2008,3.642857143
Heaven's On Fire,1984,10.57777778
Heaven's What I Feel,1998,4.931506849
Heavy Metal,1981,-1.6
Helena (So Long & Goodnight),2005,-3.294117647
Hell Breaks Loose,2010,-14.44444444
Hell Yeah,2003,-7.37704918
Hell Yeah,2003,2.790697674
Hella Good,2002,6.387096774
Hello,2015,-4.677966102
Hello,2010,5.4
Hello,1984,5.4
Hello,2011,2
Hello Again,1981,-1.5
Hello Again,1984,0
Hello Good Morning,2010,0.4875
Hello Goodbye,2010,0
Help Me,1980,5
Help Pour Out The Rain (Lacey's Song),2003,1.959183673
Hemorrhage (In My Hands),2001,14.7
Her Diamonds,2009,0.4
Her Town Too,1981,0
Here,2015,1.294117647
Here,2008,6.837209302
Here (In Your Arms),2007,-7.321428571
Here And Now,1990,0.155555556
Here Comes Goodbye,2009,1.484848485
Here Comes The Hotstepper,1994,-1.675
Here Comes The Rain Again,1984,7.225
Here For A Good Time,2011,0.833333333
Here For The Party,2004,5.428571429
Here I Am,1981,3.230769231
Here I Am,2008,6.218181818
Here I Am (Come And Take Me),1991,16.25
Here I Go Again,1987,2.869565217
Here Is Gone,2002,2.583333333
Here It Goes Again,2006,0.626865672
Here We Are,1990,1.022222222
Here We Go,1991,-40.6
Here We Go,1991,-40.6
Here We Go,2005,-8.96969697
Here We Go Again,2009,-2.935064935
Here We Go Again!,1993,-16.65306122
Here With Me,1988,5.441860465
Here Without You,2003,8.293103448
Here's To Never Growing Up,2013,-7.592592593
Here's To The Night,2001,1.333333333
Here's Your Sign (Get The Picture),1997,-1.636363636
Hero,2002,-15.11111111
Hero,1993,0
Hero,2001,5.194029851
Hero,1993,0
Hero/Heroine,2008,10.43478261
Heroes (We Could Be),2015,0.392156863
Hey Baby,1989,4.318181818
Hey Baby,2002,9.107142857
Hey Baby (Drop IT To The Floor),2011,4.489795918
Hey Baby (Drop It To The Floor),2011,4.489795918
Hey Brother,2014,0
Hey D.J.,1994,-3.269230769
Hey D.J.,1994,-3.269230769
Hey Daddy (Daddy's Home),2010,6.042105263
Hey Donna,1991,4.375
Hey Girl,2013,4.166666667
Hey Jealousy,1993,-6.518518519
Hey Ladies,1989,3.088235294
Hey Leonardo (She Likes Me For Me),1999,3.012195122
Hey Lover,1995,2.75
Hey Ma,2002,-11.41666667
Hey Mama,2015,10.13913043
Hey Mama,2004,-6.604651163
Hey Mr. D.J.,1993,-6.210526316
Hey Nineteen,1981,-4.2
Hey Now Now,1998,1.5625
Hey Porsche,2013,0.909090909
Hey Pretty Girl,2013,3.096774194
Hey There Delilah,2007,8.392405063
Hey There Lonely Girl,1980,2.117647059
Hey Ya!,2003,0.5625
Hey Soul Sister,2010,4.285714286
Hey Soul Sister,2010,3.5
High,1992,4.48
High Enough,1991,6.096774194
High On Emotion,1984,-1.695652174
High On You,1985,1.36
High Time,1983,0
Higher,2000,4.615384615
Higher,2011,2.88
Higher Ground,1994,0.941176471
Higher Love,1986,12.5
Higher Than Hope,1991,-1.529411765
Highway 20 Ride,2010,7.2
Highway Don't Care,2013,0.302325581
Highway Don't Care,2013,0.302325581
Hillbilly Bone,2010,0
Him,1980,2.857142857
Hip Hop Hooray,1993,1.623188406
Hip Hop Is Dead,2007,2.558139535
Hip To Be Square,1986,2.40625
Hippy Hippy Shake,1988,0.2
Hippychick,1990,0.352941176
Hips Don't Lie,2006,4.057971014
Hit 'Em Up Style (Oops!),2001,-1.571428571
Hit Me Off,1996,28.51086957
Hit Me With Your Best Shot,1980,10.55555556
Hit The Lights,2011,1.538461538
Hit The Quan,2015,2.352941176
Hit The Quan,2015,2.352941176
Hit The Quan,2015,2.352941176
Ho Hey,2012,2.4375
Hoedown Throwdown,2009,-16.15384615
Hold It Against Me,2011,1.432835821
Hold Me,1999,9.650793651
Hold Me,1982,10.13793103
Hold Me,1984,6.391891892
Hold Me 'Til The Mornin' Comes,1983,6.244897959
Hold Me Now,1984,4.923076923
Hold Me Thrill Me Kiss Me Kill Me,1995,1.3125
Hold My Hand,1995,10.88
Hold My Hand,2011,17.6056338
Hold On,1990,0.906976744
Hold On,1995,5.210526316
Hold On,1980,0
Hold On,1982,8.542857143
Hold On,1990,0.4
Hold On Loosely,1981,1.684210526
Hold On My Heart,1992,5.666666667
Hold On Tight,1981,0
Hold On To Me,1999,6.426229508
Hold On To My Love,1980,5.5
Hold On To The Nights,1988,0.5
Hold On We're Going Home,2013,3.054545455
Hold Tight,2013,7.129032258
Hold Up My Heart,2009,7.647058824
Hold You Down,2014,9.793478261
Hold You Tight,1991,1.894736842
Holdin' On,1982,1.636363636
Holding Back The Years,1986,2
Holding On,1989,0.947368421
Holding Out For A Hero,1984,1.53125
Hole Hearted,1991,4.4
Holidae In,2003,5.056451613
Holiday,2005,-6.153846154
Holiday,1984,-8.529411765
Holiday,1987,2.941176471
Holla Holla,1999,15.57407407
Hollaback Girl,2005,6.514285714
Holy Grail,2013,11.616
Home,2008,3.428571429
Home,2007,4.117647059
Home,2012,-6.666666667
Home,2012,-2.75
Home,2013,-2.75
Home Sweet Home,2009,10.46153846
Home Sweet Home,1992,10.46153846
Home To You,1999,4.682926829
Homegrown,2015,1.44
Honestly,1988,1.636363636
Honey,1997,4.773584906
Honey Bee,2011,4.5
Honey Love,1992,12.11538462
Honey I'm Good.,2015,1.875
Honky Tonk Badonkadonk,2006,-1.736842105
Hood Figga,2007,2.219178082
Hook,1996,1.038461538
Hooked On Classics,1982,NaN
Hooked On Swing,1982,NaN
Hooked On You,1989,4.328358209
Hope,2005,-22.75
Hope You Get Lonely Tonight,2014,4.222222222
Hope You Love Me Like You Say You Do,1982,11.16666667
Hopelessly,1993,2.2
Horizontal Bop,1980,-4.846153846
Horse & Carriage,1998,6
Horse & Carriage,1998,6.564356436
Hot Boy,2014,3.677966102
Hot Boyz,2000,4.705882353
Hot Girls In Love,1983,0.189189189
Hot Hot Hot,1988,-4.2
Hot In Herre,2002,2.93877551
Hot In The City,1982,0.583333333
Hot N Cold,2008,-10.15686275
Hot Revolver,2009,4.102941176
Hot Rod Hearts,1980,0
Hot Tottie,2010,12.05298013
Hotel,2004,12.36363636
Hotel Room Service,2009,8.325
Hotline Bling,2015,18
Hourglass,1987,0.595238095
House Of Love,1995,0
House Of Pain,1990,1.826086957
House Party,2015,-10.88888889
Housecall,1991,5.04
How 'Bout Them Cowgirls,2007,0.538461538
How 'Bout Us,1981,-12.11538462
How About That,1992,3.3
How Am I Doin',2004,6.461538462
How Am I Supposed To Live Without You,1983,1.826086957
How Am I Supposed To Live Without You,1990,2.11627907
How Bad Do You Want It?,1990,1.047619048
How Can I Ease The Pain,1991,2.796610169
How Can I Fall?,1988,6.794520548
How Can I Refuse,1983,-1.477272727
How Can We Be Lovers,1990,-70
How Come,2004,3.982758621
How Country Feels,2013,1.32
How Deep Is Your Love,2015,6.814814815
How Deep Is Your Love,1998,25.05555556
How Deep is Your Love,1998,25.05555556
How Do I Breathe,2007,7.635514019
How Do I Live,1997,6.416666667
How Do I Live,1997,5.890909091
How Do I Make You,1980,5.636363636
How Do I Survive,1980,7.518518519
How Do U Want It/California Love,1996,4.156862745
How Do You Keep The Music Playing,1983,-4.65
How Do You Like It?,1994,0
How Do You Like Me Now?!,2000,10.4109589
How Do You Sleep?,2009,5.119266055
How Do You Sleep?,2009,4.083333333
How Do You Talk To An Angel,1992,3.111111111
How Does It Feel To Be Back,1980,3.6
How Far We've Come,2007,1.375
How Forever Feels,1999,0.642857143
How High,1995,4.633663366
How Long,1982,0
How Low,2010,1.380952381
How Many Times Can We Say Goodbye,1983,-26.4
How Much Is Enough,1991,-1.606060606
How Much Love,1990,3.265306122
How To Dance,1991,3.851851852
How To Deal,2005,3.185185185
How To Love,2011,0
How To Save A Life,2006,-1.659574468
How We Do,2005,4.6875
How Will I Know,1986,2.414634146
How You Gonna Act Like That,2003,1.22147651
How You Remind Me,2001,4.316666667
How's It Going To Be,1998,1.5
Human,2014,1.25
Human,1986,0.333333333
Human,2008,-1.301886792
Human Nature,1995,6.12
Human Nature,1983,6.588235294
Human Touch,1983,0.046511628
Human Touch/Better Days,1992,2
Human Wheels,1993,3.5
Humpin' Around,1992,3.675
Hung Up,2005,1.016949153
Hungry Eyes,1988,2.193548387
Hungry Heart,1980,-3.666666667
Hungry Like The Wolf,1983,2.2
Hurt,2006,2.716981132
Hurt So Bad,1980,4.864864865
Hurting Kind (I've Got My Eyes On You),1990,15.29850746
Hurts So Good,1982,0.325
Husbands And Wives,1998,3
Hush,2004,9.70212766
Hy Hitta,2014,30.88235294
Hyperactive,1986,0.222222222
Hypnotize,1997,4.673076923
Hypnotize Me,1987,10.38888889
Hypnotized,2007,4.242424242
Hysteria,1988,3.130434783
I Adore Mi Amor,1991,2.903225806
I Ain't Gonna Stand For It,1981,-1.5
I Am By Your Side,1986,1.111111111
I Am Love,1983,6.444444444
I Am Mine,2002,0.4
I Beg Your Pardon,1989,0
I Believe,1995,-10.15384615
I Believe,1982,1.5625
I Believe,2003,3.789473684
I Believe,2004,3.181818182
I Believe I Can Fly,1996,1.098901099
I Believe In You,1980,0.432432432
I Believe In You And Me,1997,2.625
I Belong To You (Every Time I See Your Face),1997,8
I Belong To You/How Many Ways,1995,3.272727273
I Bet,2015,13.25153374
I Bet My Life,2015,6.782608696
I Breathe In I Breathe Out,2002,3.235294118
I Can,2003,0
I Can Do That,1998,6.153846154
I Can Dream About You,1984,7.710144928
I Can Love You,1997,3.223021583
I Can Love You Like That,1995,14.26415094
I Can Only Imagine,2012,2.051282051
I Can See Clearly Now,1994,0.692307692
I Can Take Care Of Myself,1981,8.727272727
I Can Transform Ya,2009,2.487437186
I Can't Dance,1992,2.618181818
I Can't Drive 55,1984,7.555555556
I Can't Go For That,1982,3.857142857
I Can't Help It,1980,2.13559322
I Can't Help It,1988,1.019607843
I Can't Help Myself,1980,7.451612903
I Can't Hold Back,1984,-3.11627907
I Can't Let Go,1980,2.412698413
I Can't Make You Love Me,1992,7.578947368
I Can't Sleep Baby (If I),1996,2.571428571
I Can't Stand It,1981,1.040540541
I Can't Stand Still,1983,-2.966666667
I Can't Tell You Why,1980,-4.68
I Can't Wait,1986,1.945945946
I Can't Wait,2004,0.316326531
I Can't Wait,1986,-1.722222222
I Can't Wait Another Minute,1991,0.739130435
I Care 'Bout You,1997,2.714285714
I Care 4 U,2002,1
I Could Never Miss You,1981,13.92
I Could Never Take The Place Of Your Man,1988,0
I Could Not Ask For More,1999,2.108108108
I Could Not Ask For More,2001,1.612903226
I Couldn't Say No,1983,0.785714286
I Cry,2012,3.636363636
I Cry,2001,-16.35652174
I Didn't Mean To Turn You On,1986,0.912280702
I Didn't Want To Need You,1990,0.537313433
I Do,2011,0.583333333
I Do,1998,0.827586207
I Do,1983,2.545454545
I Do (Cherish You),1999,9.142857143
I Do Not Hook Up,2009,2.13559322
I Do What I Do...,1986,0
I Do You,1987,4.695652174
I Do!!,2001,8.12
I Do'Wanna Know,1984,2.16
I Do'wanna Know,1984,2.16
I Don't Care,2008,2.164179104
I Don't Care Anymore,1983,NaN
I Don't Dance,2014,4.021276596
I Don't Ever Want To See You Again,1998,11.45454545
I Don't Ever want To See You Again,1997,11.45454545
I Don't F**k With You,2014,7.032967033
I Don't Have The Heart,1990,1.743589744
I Don't Have To Be Me ('Til Monday),2002,4.977777778
I Don't Know Anybody Else,1991,4.566037736
I Don't Know Where To Start,1982,0.625
I Don't Like It I Love It,2015,0.745762712
I Don't Mind,2015,1.934306569
I Don't Mind At All,1987,2.058823529
I Don't Need You,1981,2.291666667
I Don't Wanna,2000,-14.34065934
